
# File: Layout.txt
# Date: 2023-06-05
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+5487 U+20C23
U+23049 U+23046
U+45A9 U+2E500
U+9FFE U+213C5
U+365F U+5871
U+6A03 U+3BBE
U+236DA U+6A64
U+21BA4 U+21BA3
U+2BD3C U+21B6C
U+2BD48 U+21BAE
U+2E552 U+27522
U+8CE4 U+27DA4
U+576A U+2129E
U+20CB3 U+28216
U+548C U+20C13
U+548A U+357F
U+45B6 U+272E0
U+875D U+45CD
U+24C93 U+24C9D
U+32369 U+4D0E
U+24C43 U+2342D
U+6AD1 U+6AD0
U+7927 U+7928
U+7D30 U+7D2F
U+30B47 U+7F4D
U+274BD U+2749C
U+2441D U+2E99F
U+21F8A U+21F94
U+24C44 U+7553
U+24C5B U+24C5C
U+36BC U+36BB
U+2DEDC U+6983
U+5737 U+2CEC1
U+6858 U+2C0AB
U+23449 U+81EC
U+2BC3E U+2B488
U+2C8D4 U+8B86
U+30ABB U+2B0BF
U+429B U+25EE6
U+699D U+31903
U+30590 U+231E9
U+873F U+45D5
U+21BBA U+21BB7
U+30E8E U+8F88
U+8F2B U+8F29
U+2AFE8 U+2E026
U+251EA U+251D6
U+25E98 U+25E9F
